Categories,Title,Snippet
Politics, Dominic Cummings' call for No 10 staff may break employment law,"A rambling blogpost by Boris Johnson’s chief adviser, Dominic Cummings, calling for “weirdos and misfits with odd skills” to apply for jobs within No …"
Politics," US failing to give UK warning of military strikes, says senior MP","The UK was not informed in advance of the US airstrike that killed Iran’s top general, it has been claimed, as the British government scrambled to pro …"
Music, Mystery of Rolling Stones tracks posted briefly on YouTube,"A mysterious YouTube account that posted, then hid, a collection of 75 rare and unpublished Rolling Stones recordings may have been a canny attempt to …"
Sport, Ollie Pope delivers solitary shaft of light for sorry England in second Test,Here is a tale of missed opportunities which heightens the eerie feeling that England are now embarked on a nightmarish tour of Ashes proportions. Thi …
Sport, Cricket may seem insignificant while Australia burns but it shines some light,Summary: Edgar Allan Poe wrote a brilliantly sinister short story about a man who wakes up in the night and sees a shadow against the curtains that looks just …
Sport, England need to be honest: Joe Root’s captaincy is just not working out,You had to commend Joe Root’s honesty when he walked after gloving behind a short ball from Anrich Nortje on the opening day of this second Test again …
Politics, Andrew Miller obituary,"Andrew Miller, the former Labour MP, who has died aged 70, was partly responsible for one of the most far-reaching pieces of employment legislation to …"
Sport, 'We’ll find something else': Pope says England have accepted football ban,Ollie Pope says England’s players have accepted the ban on football after the opener Rory Burns was ruled out of the rest of the series against South …
Politics, Jess Phillips confirms she will stand for Labour leadership,"Jess Phillips has announced she will stand as a candidate in the Labour leadership contest. The Birmingham Yardley MP joins Emily Thornberry, Clive Le …"
Politics, Lisa Nandy enters Labour leadership race with call for change,"The Wigan MP Lisa Nandy has announced she will enter the Labour leadership race, with a stark warning to party members that “unless we change course, …"
Sport, Talking Horses: saddle up for Sandown reward with Wild West Wind,"The Veterans Chase series is made for horses like Wild West Wind (3.00), who was never the fastest and had a fallow period in mid-career but has now, …"
Politics, Hunt: US confrontation with Iran is 'dangerous game of chicken',Jeremy Hunt has called the US’s escalating confrontation with Iran over the assassination of Tehran’s top general an “incredibly dangerous game of chi …
Sport," Sportwatch: Sydney and Phoenix win again, Stars stroll BBL derby – as it happened","And that’s where we’ll leave Sportwatch. A night of close, but no cigar across many codes. The Central Coast traveled to Wellington looking to snap a …"
Sport, Fiddlerontheroof wins Tolworth Hurdle in first Grade One jumps race of 2020,"“The novice hurdlers are our future,” Joe Tizzard said after the Tolworth Hurdle here on Saturday and quite a future it promises to be. Fiddleronthero …"
Sport, Nadal and Djokovic star as Spain and Serbia make winning starts at ATP Cup,Summary: It has been six weeks since Rafael Nadal dragged Spain through eight singles and doubles wins in five days to Davis Cup victory in Madrid. Such a tran …
Sport," South Africa 215-8 against England: second Test, day two – as it happened","Nasser: “England were absolutely superb all day, well led by Joe Root. It’s not a minefield of a pitch but Broad and Anderson got the game by the scru …"
Sport, Glorious Gloucester storm back for bonus-point win over Bath,"Crowds here for years were treated to bruising encounters usually decided by uncompromising home forwards and the boot of an accurate goal-kicker, but …"
Politics," I was taught that if you have a voice, you use it to help others","Anyone standing for leader of the Labour party has a responsibility to speak truth, because without that we will never win power. We cannot spend the …"
Sport," David Muir, racing’s conscience, has his eyes on another hurdle","New Year’s Eve brought the end of an era as David Muir, who has spent 21 years as racing consultant to the RSPCA, completed his final shift by oversee …"
Sport," Australia v New Zealand: third Test, day three – as it happened","Here’s your daily report from the SCG. Australia reasserted their authority over the third Test on day three at the SCG. Nathan Lyon was the star, spi …"
Politics, Dominic Cummings warned over civil service shake-up plan,"Summary: Dominic Cummings should stop denigrating senior civil servants by lumping them together as part of the same Oxbridge-educated, dinner party elite if h …"
Politics," Britain 'on same page' as US over Suleimani killing, says Raab",Dominic Raab has said Britain is “on the same page” as the US in relation to Friday’s assassination of the Iranian general Qassem Suleimani. Amid cont …
Sport, Sportwatch: Sixers stun Strikers  and Victory do the double – as it happened,"And this is where Sportwatch ends this Sunday. Josh Philippe and the Sixers were too good for the Strikers in the Big Bash, Melbourne Victory showed t …"
Music, Pavel Kolesnikov review – an outstanding pianist in every degree,"Dusk to Dawn was the title of Pavel Kolesnikov‘s latest Wigmore recital, a superb, wonderfully programmed evening that more than confirmed the London- …"
Sport, Dominic Sibley nears century to put England in control against South Africa,"Dominate two days in a row and a Test match victory is on the horizon. On a sultry Sunday in a country where, bizarrely, cloud cover can seem to deade …"
Politics, How will the Labour leadership contest work?,"When does the Labour leadership race kick off? Campaigning has already begun, with candidates including Jess Phillips and Sir Keir Starmer having laun …"
Sport, Dominic Sibley is what England’s top order has needed for years,"Unlike Ben Stokes or Kevin Pietersen, Dominic Sibley is a player who fills bars rather than empties them. At times watching him bat can be mind-numbin …"
Politics, Labour leadership: Jess Phillips says party could argue to rejoin EU,"Labour leadership contender Jess Phillips has said she could envisage campaigning to re-enter the European Union at the next general election, ahead o …"
Politics, Boris Johnson: Qassem Suleimani was threat to all our interests,"Boris Johnson has said that assassinated Iranian general Qassem Suleimani was “a threat to all our interests”, and that while “we will not lament his …"
Politics, Our readers reveal how they'll have their last fling with the EU,Summary: British citizens will no longer be EU citizens from 31 January if the withdrawal agreement Boris Johnson sealed in October is ratified. But Brexit day …
Music, Nicola Roberts: ‘My therapist said I was one of the most resilient people she’d ever met’,"Last year was one of the happiest of Nicola Roberts’ life. She signed off on the repossession of her home in Surrey and moved to London, close to frie …"
Sport, Bushfire haze in Melbourne casts doubt on Australian Open starting on time,"Less than a fortnight before the start of the Australian Open, Melbourne lies under a thickening blanket of bushfire haze, and air quality has been do …"
Sport, David Stern's complex legacy is worthy of high respect and close inspection,"The passing of longtime NBA commissioner David Stern has prompted impassioned reactions in basketball circles over the past week. On one hand, Stern w …"
Music, Nirvana reunion: Dave Grohl's 13-year-old daughter steals the show,"Summary: When arts charity the Art of Elysium announced the lineup for its annual Heaven Is Rock and Roll Gala in Los Angeles, the attention was on the second …"
Sport, Talking Horses: why a five-day Cheltenham Festival is a terrible idea,"Summary: If you enjoy a thing, it’s only natural to want more of it, as those of us who have done extremely well at the trough in the past fortnight are keenly …"
Politics, How did you overcome your Brexit family fallouts?,"The 2016 EU referendum result threw families, friends and couples into bitter conflict. As Brexit finally arrives, we want to hear from people who man …"
Politics, Dominic Cummings not allowed to directly hire civil servants – No 10,"Boris Johnson’s chief adviser, Dominic Cummings, will not be allowed to bypass Whitehall’s usual recruitment processes when recruiting “weirdos” and “ …"
Politics, Northern Ireland firms could seek £100m Brexit compensation,Boris Johnson is facing demands for cash compensation that could run to more than £100m for any disruption caused by Brexit to Northern Ireland’s busi …
Sport, Stokes’s brutal second Test batting cameo lays down marker for 2020,Ben Stokes missed the start of this tour to make sure he could pick up the BBC’s Sports Personality of the Year award in person after a stellar 2019. …
Politics," Labour leadership: NEC decides contest to last three months, with result announced Saturday 4 April – as it happened","Summary: Labour’s new leader and deputy leader will be announced at a special conference on 4 April, with prospective supporters given a 48-hour window next we …"
Sport, Dean Elgar: ‘I wouldn’t waste a referral knowing that I’d nicked it’,Dean Elgar has risked the wrath of the International Cricket Council by openly questioning his controversial dismissal on the fourth day of the second …
Politics, Nicky Morgan to keep retiring MP payment despite role in Lords,"Nicky Morgan, the culture secretary who stood down as an MP only to be elevated weeks later to the House of Lords, is planning to keep an £8,400 payme …"
Politics, Labour leadership contenders urged to oppose clear-out of staff members,Labour’s main leadership contenders have been urged to join calls for a halt to a party reorganisation that would result in multiple sackings of party …
Music, Lizzo's Sydney Opera House performance was as close to transcendent as pop can get,"Summary: The floor rumbles as more than 2,000 people stamp their feet, raise their arms and bow down in unison as they chant the name “Lizzo”. I find myself wi …"
Politics," Labour must ditch 'ideological purity', says Rosena Allin-Khan","Labour must move past the factionalism and “ideological purity” that has alienated voters across the country, the shadow minister Rosena Allin-Khan ha …"
Politics, Brexit weekly briefing: UK counts down to 31 January departure,"Welcome to the Guardian’s weekly Brexit briefing. If you’d like to receive this as a weekly email, sign up here. You can catch our latest Brexit Means …"
Sport, Rory Burns to miss England’s tour of Sri Lanka after ankle surgery,Rory Burns will miss England’s tour of Sri Lanka in March after the opener was ruled out for up to four months following surgery on his left ankle. Bu …
Music, Hans Zimmer hired to score Bond film No Time to Die at last minute,"Hans Zimmer has been drafted in as a last-minute replacement to score the James Bond movie No Time to Die, less than three months before its release. …"
Sport, Jimmy Anderson's records pile up but he is still in Sydney Barnes's shadow,"When The Spin scours statistics to help rank our cricketers in end-of-the-decade lists or posthumous tributes, occasionally there are still records th …"
Politics, No 10 to scrap plans for Whitehall shake-up as it vows to cut waste,"Downing Street is likely to abandon ambitious plans to reshape or merge a series of ministerial departments, and will instead focus on more traditiona …"
Music, Letter: Julian Piper obituary,"In 1998 Julian Piper invited us to go and interview the American blues guitarist Phil Guy, who was staying with him at his home in Topsham, Devon. Phi …"
Politics, Long-Bailey scores Corbyn '10 out of 10' as she launches campaign,Rebecca Long-Bailey has said Jeremy Corbyn scored “10 out of 10” as leader of the Labour party as she kicked off her campaign to succeed him. The shad …
Politics, Scotland to introduce emergency measures as Javid postpones budget,"The Scottish parliament is to introduce an emergency budget process, after the chancellor postponed the UK budget until mid-March. Derek Mackay, the S …"
Politics, Parliament returns and Tory majority gives idiots licence to be idiots,"Boris Johnson rolled over in bed and groaned. It was hard to know which was worse. The sunburn or the jet lag. He closed his eyes, willing himself bac …"
Sport, Ben Stokes dedicates England heroics against South Africa to stricken father,"Ben Stokes has dedicated his match-winning performance in the second Test against South Africa to his stricken father, who kept tabs on England’s seri …"
Sport, ICC plan to end five-day Tests would remove all that is best about cricket,"No. No. No. And also: no. Not even: no thanks. Not later or maybe or let’s see. This is simply a hard, flat no. And indeed an angry and reproachful no …"
Politics, Lisa Nandy and Jess Phillips tell Labour: we must change to survive,Labour leadership candidates Lisa Nandy and Jess Phillips won applause from MPs at a hustings for warning that a serious change of course is needed fo …
Politics, Keir Starmer and Lord Dubs urge Tory MPs to rebel over child refugees,"Labour has urged Conservative MPs to defy the government and vote to restore a commitment to family reunion for child refugees in Brexit legislation, …"
Politics, Dominic Raab says Iran missile strikes 'reckless and dangerous',"Britain has urged Iran not to repeat what the foreign secretary, Dominic Raab, described as “reckless and dangerous” attacks after missiles were fired …"
Music, Doors drummer John Densmore: ‘It took me years to forgive Jim Morrison’,"It took the Doors’ drummer, John Densmore, three years to visit the grave of his bandmate Jim Morrison after he was found dead in a Paris bathtub in 1 …"
Music, Musical notes: Justin Bieber's TikTok-friendly Yummy is too eager to go viral,"Summary: Pop and rock music, in its multifarious forms, seems to shift faster than ever. In 2020, we’re bombarded not just with music – more of which is readil …"
Sport, Talking Horses: BHA urges vigilance as anniversary of 'Flu Day' approaches,"Almost exactly 11 months ago, on 7 February 2019, racing woke up to the news that ‘everything’s off’. Three horses in Donald McCain’s yard, all of whi …"
Music, Stephen Hough/Castalian Quartet review – ensemble and balance were spot-on,Stephen Hough’s three-concert residency at the Wigmore Hall this week is built around chamber works by Brahms. Its centrepiece was a programme of two …
Music, UK drill rapper Headie One jailed for six months for carrying knife,"Headie One, the Tottenham rapper who has had chart success with Stormzy and Dave, has been sentenced to six months in prison for carrying a knife. The …"
Politics, Keir Starmer’s Labour leadership bid wins backing of MPs and Unison,"Summary: Keir Starmer’s Labour leadership campaign has received a boost after he won the backing of the UK’s biggest trade union, Unison, and became the first …"
Music, Wiley v Stormzy: sparks fly in grime's generation game,"For many of us, January is a time to reset, exercise, and get mind and body in order for the start of a new year. But someone who clearly hasn’t downl …"
Politics, Labour leadership contest: Boost for Starmer's campaign as he gets Unison's backing – as it happened,"Ursula von der Leyen, the president of the European commission, has said it will be “impossible” for the UK to negotiate a comprehensive deal covering …"
Sport, England may unleash Leach to put extra spin on Root’s treasured win,There is relief as well as jubilation for England. After four matches Chris Silverwood has now overseen a Test victory. It is Joe Root’s 18th win as c …
Politics, Johnson's first meeting with Von der Leyen lays trade deal faultlines bare,"If the European School in the leafy Uccle suburb of Brussels teaches its high-flying pupils anything, it is how to be diplomatic. It came as little su …"
Music," Instead of celebrating Adele's weight loss, may I suggest something else?","Adele may have dubious views on tax, but one thing is for certain: the rest of her resume is nearly flawless. Her first album, some of which she wrote …"
Sport, Rob Burrow reveals doctor’s positive motor neurone disease outlook,Rob Burrow has revealed he has been told he has “very early stage” motor neurone disease but is hopeful he can live for another decade. The former Lee …
Politics, Barry Gardiner shocks Labour with hint he may run for leadership,"Barry Gardiner, the shadow international trade secretary, has said he is considering running for Labour party leader, in a shock announcement made jus …"
Music, Two new David Bowie records to be released in 2020,"Two new David Bowie records will be released this year, with a digital EP featuring unheard versions of songs being released weekly and a live session …"
Sport, How Ryan Tannehill dragged himself – and the Titans – into playoff relevance,"When the Tennessee Titans face the Baltimore Ravens in Saturday’s divisional round of the NFL playoffs, one quarterback will take the field and stick …"
Sport," Doctor, sailor, Super Bowl contender: Laurent Duvernay-Tardif's extraordinary career",Summary: Draft night follows a familiar pattern for most players as they wait to be picked for their first NFL team out of college. There’s the nervous lead up …
Sport, Max Verstappen’s decision suggests F1 title tilt from Red Bull and Honda,"Just days into the new year, with many good intentions already falling by the wayside, Max Verstappen has displayed the boldest of resolve. The Dutchm …"
Sport," Six sixes in an over, finish-line drama and a slalom close call","Summary: 1) Let’s start with a bang, as Leo Carter slams six sixes in an over for Canterbury Kings against Northern Knights in the T20 Super Smash, on his way …"
Music, The Clash's 40 greatest songs – ranked!,"40. 1977 (1977) A historical artefact, not for the proto-punk music, but because the lyrics epitomise the new wave’s perceived threat to the old guard …"
Music, Georgia: Seeking Thrills review – a bold British hymn to hedonism,"The photo on the cover of Georgia Barnes’s second album seems telling. At first glance, it looks like one of those classic late 80s/early 90s club sho …"
Politics, Boris Johnson urges Iran president to end military action,"Summary: Boris Johnson has spoken to Iran’s president, Hassan Rouhani, to urge an end to further military retaliation in the region, amid efforts to try to de- …"
Politics, Brexit 'deepening inequalities among UK nationals in France',"Brexit is already deepening inequalities among British nationals in France, with some losing rights due to varying levels of Brexit preparedness among …"
Music, Beethoven: The Late Quartets review – serene and assured performances,"Summary: The Brodsky Quartet have taken their time over the Beethoven quartets. In 2006, they released a disc of two of the Rasumovsky quartets, Opp 59 Nos 2 a …"
Politics, Thornberry gives Corbyn '0 out of 10' for election performance,The Labour leadership candidate Emily Thornberry has given Jeremy Corbyn “0 out of 10” for his performance during the general election. The shadow for …
Music, Keeley Forsyth: how the Happy Valley actor became the new Scott Walker,"Yorkshire is the backdrop to many disquieting works of art, such as David Peace’s Red Riding Quartet, Bram Stoker’s Dracula and the Brontës’ explorati …"
Music, Marianne Crebassa/Fazıl Say review – singer and pianist in creative harmony,"A standard vocal recital has the singer stealing the limelight from an all too often anonymous pianist, and the repertoire lightening up towards the e …"
Politics," Labour leadership: Thornberry gives Corbyn '0 out of 10' for election, but '10 out of 10' for principle - as it happened",The Labour leadership candidate Emily Thornberry has given Jeremy Corbyn “0 out of 10” for his performance during the general election. Record numbers …
Music, Harry Kupfer obituary,"Harry Kupfer, who has died aged 84, was a towering figure in opera production with a career spanning 60 years. A native of Berlin, for the first two d …"
Politics, Brexit department ends – not with a bang but airbrushed out,From 31 January any mention of the word Brexit will officially be punishable by death. Anyone who is even suspected of thinking about Brexit will be c …
Politics," Labour leadership: Long-Bailey, Nandy and Phillips win backing","Three more Labour leadership candidates – Rebecca Long-Bailey, Jess Phillips and Lisa Nandy – have joined Keir Starmer in securing enough nominations …"
Politics, Boris Johnson’s Brexit bill heads for Lords after MPs’ vote,Boris Johnson’s Brexit bill cleared the House of Commons on Thursday in a major milestone that means the UK is on track to leave the EU on 31 January. …
Sport, Tim Henman backs Dan Evans to build on ATP Cup displays despite GB exit,"Summary: Dan Evans, Cameron Norrie, Jamie Murray and Joe Salisbury left Sydney with heroics to cherish and bruises to heal. But Tim Henman, their part-time mus …"
Sport, Andrew Strauss believes five-day Tests should stay unless case compels,Andrew Strauss has insisted there must be an overwhelming case for the proposed switch to four-day Test cricket or it should not occur. The former Eng …
Politics, MoD mistakes led to Trident upkeep costs rising by £1.35bn,"The cost of maintaining three nuclear sites spiralled by £1.35bn because of poor management by the Ministry of Defence (MoD), Whitehall’s watchdog has …"
Music, DaBaby boom: meet the controversial rapper taking over America,"It’s impossible to know where to focus your attention. On the six members of Jabbawockeez, the dance troupe wriggling on stage like breakdancing storm …"
Music, David Lang: why I freed Fidelio's other prisoners,"I was in my early 20s when I first saw Fidelio, Beethoven’s only opera, on stage. I didn’t know that much about it. I knew the rough plot – a woman, L …"
Music, The Big Moon: Walking Like We Do review – endlessly quotable indie-pop,Endearing indie outfits announcing that they’re going pop is rarely cause for celebration. The sense that they feel strong-armed into it by commercial …
Music, Poppy: I Disagree review – online pop-bot embraces IRL nu-metal,"Moriah Pereira, AKA Poppy, emerged in 2014 as a YouTube sensation, pitched as a fictional character: a video of her eating candy floss garnered over t …"
Music, Field Music: Making a New World review – war stories with disco-pop sensibilities,"Summary: This 40-minute, 19-song cycle about the aftermath of the first world war isn’t the most obvious commercial follow-up to Field Music’s glorious 2018 To …"
Music, Beatles' Abbey Road tops US bestselling vinyl LPs of the 2010s,"The Beatles’ 1969 album Abbey Road has been named the US’s biggest-selling vinyl LP of the 2010s, shifting more than 558,000 copies. The Top 10, compi …"
Music," Tracks of the week reviewed: Justin Bieber, Travis Scott, Hatsune Miku",Summary: Justin Bieber Yummy There’s something about one-time child stars named Justin that makes them incapable of getting married without releasing at least …
Music, Gift of the gabber: the return of dance music’s gloriously tasteless subgenre,"Summary: “Strictly for the headstrong!” bellowed the rave MCs back in 92. In contrast to the smiles and hugs of acid house, the music, the dancing, the drugs w …"
Politics, Jess Phillips: people would pay more tax for decent social care,The Labour leadership candidate Jess Phillips says she believes the public is prepared to pay more tax to get an NHS-style social care system that loo …
Sport, Champions Cup preview: Exeter’s Hogg heads to Glasgow to meet former club,Pool One Leinster are already guaranteed to finish top of the pool and their focus is on securing a home draw in the quarter-finals with two points se …
Sport, London Marathon winner Wilson Kipsang to face anti-doping hearing,"Summary: The two-times London Marathon winner Wilson Kipsang has been provisionally suspended for whereabouts failures and tampering with samples, the Athletic …"
Politics, Northern Ireland assembly to sit on Saturday after three years,Summary: Northern Ireland’s main political parties have agreed to a deal that will lead to the restoration of the power-sharing government in the region follow …
Music, Rush drummer and lyricist Neil Peart dies at 67,The Rush drummer and lyricist Neil Peart has died at the age of 67. The Canadian musician had been diagnosed with brain cancer three years ago and die …
Sport, Bryony Frost: ‘When you connect with your horse it’s a magic place to be’,"If there is a gene for positivity, Bryony Frost has it twice. “It’s a long way off if you look at the top of the mountain sometimes,” she said this we …"
Sport," Ellie Simmonds: ‘Going into Rio, swimming for me had been life or death’","“A lot of the time, when I swim, I close my eyes because it is definitely lonely,” Ellie Simmonds says as she considers the emotional, physical and ps …"
Politics, Long-Bailey calls on Momentum to back Angela Rayner for deputy,"The Labour leadership contender Rebecca Long-Bailey has written to leading figures in Momentum, urging the leftwing campaign group to throw its weight …"
Music," Rush's Neil Peart: unassuming, thunderous drummer who became a music legend","“He was one of the goofiest-looking guys I’d ever seen,” Geddy Lee told me in November 2018. Rush’s singer and bass player was talking about his first …"
Politics, Thousands of independence supporters march in Glasgow,Thousands of independence supporters have begun marching through the streets of Glasgow. The march is the first of eight planned for 2020 by the grass …
Music, Mura Masa: the Stormzy collaborator on why he’s swapped sunny pop for moody nostalgia,"In a cramped south London rehearsal space, producer Mura Masa, AKA Alex Crossan, is quietly losing the plot. Takeaway boxes and empty bottles rest on …"
Music, The week in classical: NYO/Martín; Stephen Hough review – a flying start to 2020,"The classical music world wakes slowly in January. Orchestral concerts don’t get going properly until mid-month and most halls are quiet, a noble, ope …"
Sport, ATP Cup semi-final: Spain beat Australia – as it happened!,"And with that, we’ll wrap it up for the night. It’s 11:15pm local time. Thanks for your company throughout the day. Focus now shifts to Sunday’s final …"
Politics, Brexit deal: EU may threaten 'to block' City's access to its markets,Summary: The EU will be unashamedly “political” and block the City of London’s access to European markets if Boris Johnson tries to exempt the UK from its laws …
Music, Georgia: Seeking Thrills review – thrills without the spills,"Summary: On paper, Seeking Thrills, the second album by London producer and vocalist Georgia Barnes, has all the makings of a very Veganuary sort of dance-pop …"
Sport, Saracens shrug off Rhys Carré red card for comeback win against Ospreys,Saracens are never more up than when they are down. It has been a season when adversity has challenged the English and European champions remorselessl …
Politics, Fan of Trump and Farage raises far-right ‘Q’ flag at his Cornish castle,A key supporter of Nigel Farage and Donald Trump has provoked ridicule after using his Cornish castle to fly the flag of a prominent conspiracy theory …
Music, Sulzmann/ Iles/ Holland: Lush Life review – a joyous meeting of minds,There’s a rare unanimity of thought when saxophonist Stan Sulzmann and pianist Nikki Iles play together. The way they latch on to one another’s ideas …
Politics, Gina Miller: ‘How do we preserve Britain as a tolerant place?’,Summary: The justice campaigner Gina Miller won two landmark legal victories that forced the government to be accountable to parliament over Brexit. Her autobi …
Politics, Scottish Labour turn down leader's federal UK strategy,"Summary: Scottish Labour’s executive has rejected its leader’s proposals for a special conference on federalism, which could have seen it support a multi-optio …"
Sport, England bank on youth but Jimmy Anderson’s absence is a huge loss,"England’s average age continues to plummet in the absence of Jimmy Anderson. At Port Elizabeth on Thursday, the team will hover around 26 years with t …"
Music," Brit award nominations 2020: Dave and Lewis Capaldi top pile, with women shut out",The British music industry’s focus on the male solo artist at the expense of female musicians has been thrown into sharp relief by the nominations for …
Music, This year's male-dominated Brit awards have an issue with women,You could say this year’s Brit nominations are as predictable as ever. It didn’t take astonishing powers of clairvoyance to predict that Lewis Capaldi …
Politics, Jeremy Corbyn: Iran has 'no excuses' for shooting down airliner,Summary: Labour leader Jeremy Corbyn has told a rally in London that the shooting down of a passenger plane in Tehran was an “appalling act” for which there ca …
Politics, Keir Starmer’s team are confident – but expect a rival’s surge,Everything about Keir Starmer’s leadership campaign to date suggests it has been long in the planning. Fifty-seven years and four months ago his late …
Sport, Roger Federer responds to climate crisis criticism from Greta Thunberg,"Roger Federer has issued a cautiously worded response to mounting criticism, including from climate activist Greta Thunberg, over his sponsorship deal …"
Politics, There’s a chance for change in the Middle East and Britain has a role to play,Even by the standards of the Middle East it was a remarkable week. You have to deal with what presents itself in the region – there is little point in …
Politics, Labour can’t change society on its own. We have to work with other parties,"History is littered with leaders and movements, now long vanished and mostly forgotten, who failed to get to the deep truths of how and why their defe …"
Politics, Whitehall needs more scientists to compete with China: chief adviser,Britain’s civil service is suffering from a serious lack of scientific talent that threatens its ability to compete with nations such as China. That i …
Music, The Big Moon: Walking Like We Do review – indie crew grow their sound,There was certainly no shortage of competent and unimaginative indie rock in the late 2010s. But the debut album by the Big Moon – 2017’s Love in the …
Politics, Rebecca Long-Bailey wants to abolish the House of Lords,Summary: The Labour leadership contender Rebecca Long-Bailey has said she wants to abolish the House of Lords and would not stand in the way of another Scottis …
Music, Field Music: Making a New World review – a concept stronger than the songs,"A concept album viewing the last century through the filter of the first world war, Field Music’s seventh album was initially composed and performed b …"
Politics, 'Festival of Brexit' boss says £120m event will prove cynics wrong,"It has been mocked and pilloried as a “festival of Brexit”, but the newly appointed boss of the £120m nationwide celebration planned for 2022 has said …"
Music, Hatsune Miku review – hologram star fires up crowdsourced power pop,"On Saturday night, a singer with a 13-year career played only her second London headline show. Naturally, the venue was packed out with rapt, merchand …"
Music, Himalayan headbangers: in the moshpit with the metalheads of Kathmandu,"When Ugra Karma made the first-ever Nepali metal recording, they didn’t intend to start a subculture. They just wanted to make life easier for themsel …"
Music, Neil Peart obituary,"The drummer Neil Peart, who has died aged 67 of brain cancer, enjoyed such a reputation for his deft, powerful drumming with the Canadian rock band Ru …"
Music, Letter: Paul Birkbeck obituary,The artist Paul Birkbeck was also interested in American roots music. During the mid-1960s he played the banjo with the Dedicated Men Jugband. Their r …
